listing.id,listing.user.id,listing.is_superhost,listing.city,listing.name,listing.property_type_id,listing.room_and_property_type,listing.space_type,listing.avg_rating,listing.reviews_count,listing.picture_count,listing.bathrooms,listing.bedrooms,listing.beds,listing.person_capacity,listing.cancel_policy,listing.is_new_listing,listing.lat,listing.lng,listing.max_nights,listing.min_nights,pricing_quote.can_instant_book,pricing_quote.monthly_price_factor,pricing_quote.rate.amount,pricing_quote.weekly_price_factor
31447123,5310837,True,Midland,Three bedrooms in large 2 story home.,2,Private room in house,Private room,5.0,9,19,2.0,3,4.0,4,CANCEL_MODERATE,False,32.00277,-102.16194,1125,1,True,0.6,90.0,0.79
33367604,251118513,False,Midland,"New Home, North Midland, Clean and Quiet",2,Private room in house,Private room,,0,9,1.0,1,1.0,2,CANCEL_FLEXIBLE,False,32.07815,-102.08062,1125,1,True,1.0,185.0,1.0
37706190,160238336,False,Midland,Great place close to hospital,2,Private room in house,Private room,,0,5,1.0,1,0.0,2,CANCEL_FLEXIBLE,False,31.99331,-102.10767,7,1,True,1.0,55.0,1.0
24378679,149309678,True,Midland,"Corporate or Family Home, close to downtown",2,Entire house,Entire house,4.92,25,22,2.0,4,5.0,11,CANCEL_MODERATE,False,32.01684,-102.08471,1125,1,True,0.7,200.0,0.9
39731394,302762155,False,Midland,Cozy Suite in the Heart of Midland!,1,Entire apartment,Entire apartment,4.4,5,24,1.0,1,2.0,3,CANCEL_FLEXIBLE,False,31.98808,-102.14916,90,1,True,0.8,55.0,0.9
33295759,211039997,True,Midland,Dancing K's Permian Prospect 2,2,Private room in house,Private room,,2,6,1.5,1,1.0,1,CANCEL_FLEXIBLE,False,31.87978,-102.20197,30,7,False,1.0,30.0,1.0
35233781,77533936,False,Midland,Beautiful New RV 5 Beds,32,Camper/RV,Camper/RV,4.79,14,22,1.5,2,4.0,6,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,31.92287,-101.91613,1125,1,True,0.85,80.0,0.9
32667466,123516812,True,Midland,Desert Oasis,2,Entire house,Entire house,4.86,35,17,2.0,3,5.0,10,CANCEL_MODERATE,False,32.00445,-102.13355,1125,2,False,0.72,145.0,0.81
29306324,108682577,True,Midland,Quiet and comfortable with King Bed,2,Private room in house,Private room,4.82,11,7,1.0,1,1.0,3,CANCEL_STRICT_14_WITH_GRACE_PERIOD,False,32.02873,-102.06824,1125,1,True,0.53,79.0,0.72
43474505,41916063,True,Midland,1 bedroom at The Ridge,1,Entire apartment,Entire apartment,,0,4,1.0,1,1.0,2,CANCEL_FLEXIBLE,True,32.0389,-102.12446,30,3,True,1.0,100.0,1.0
