ID,Name,Bedrooms,Bathrooms,Beds,Capacity,City,New_Listing,Superhost,Lat,Long,Pic_Count,picture_url,Reviews,Space_Type,property_type_id,Stars,Host_ID,Avg_Rating,Rate,Rate_Srvcfee,Wk_Price_Factor,Mo_Price_Factor,Cancel_Policy,Min_Nights
21560778,Quiet Guest Suite - See Discount Rates,1,1.0,1,1,Midland,False,False,32.00513,-102.14628,15,https://a0.muscache.com/im/pictures/0a79f495-6929-4e89-819c-2d59f8828751.jpg?aki_policy=large,139,Private room,2,5.0,156780693,4.79,30.0,30.0,0.95,0.9,CANCEL_FLEXIBLE,1
9465528,Țrzs Agave - The Century Agave Room,1,1.0,1,2,Midland,False,False,31.98836,-102.09839,15,https://a0.muscache.com/im/pictures/db0bdf9b-2093-4fce-997b-41b5a51eeebb.jpg?aki_policy=large,337,Private room,2,4.5,20357728,4.69,35.0,35.0,0.9,0.85,CANCEL_FLEXIBLE,1
41459634,Downtown East,2,1.0,2,6,Midland,False,False,32.00942,-102.07725,22,https://a0.muscache.com/im/pictures/3ae3efe5-24ee-4ce7-ae71-795628bd1bca.jpg?aki_policy=large,14,Entire house,2,4.0,212335944,4.21,60.0,60.0,0.85,0.7,CANCEL_MODERATE,1
30674446,"Excellent Safe area! Private, Charming garage apt.",1,1.0,2,4,Midland,False,False,32.01076,-102.1121,8,https://a0.muscache.com/im/pictures/d0c3d3f5-953c-4ecd-ba77-50ecb3b44994.jpg?aki_policy=large,24,Entire apartment,47,4.5,90548425,4.33,45.0,45.0,1.0,0.9,CANCEL_STRICT_14_WITH_GRACE_PERIOD,3
26774762,The Eagles Nest,2,1.5,2,4,Midland,False,True,31.99459,-102.11112,9,https://a0.muscache.com/im/pictures/7544a528-b53c-41c7-9b3c-34e3f7098865.jpg?aki_policy=large,104,Entire condominium,37,5.0,201316675,4.84,90.0,90.0,0.8,0.6,CANCEL_FLEXIBLE,1
33775798,Midland Art Studio Retreat,2,1.0,2,4,Midland,False,True,32.02163,-102.08454,19,https://a0.muscache.com/im/pictures/577ddddf-a4a1-4a8b-9f31-8ab27eda32f7.jpg?aki_policy=large,60,Entire townhouse,36,5.0,254608133,4.8,90.0,90.0,0.86,0.81,CANCEL_FLEXIBLE,1
19208330,My Home is Your Home (Mi Casa es Su Casa),1,1.0,2,2,Midland,False,True,32.02404,-102.07733,20,https://a0.muscache.com/im/pictures/f96b9145-4529-4a3b-aa40-5e3f2abbe16f.jpg?aki_policy=large,156,Private room,2,5.0,134405721,4.78,40.0,40.0,0.9,0.85,CANCEL_FLEXIBLE,1
31595383,"Great Location, Loraine B - Room #2",1,1.0,1,1,Midland,False,False,31.9836,-102.07474,6,https://a0.muscache.com/im/pictures/1a4524ac-dc36-48c4-9c02-b671a41c227b.jpg?aki_policy=large,55,Private room,2,5.0,56215662,4.76,35.0,35.0,0.92,0.85,CANCEL_FLEXIBLE,2
40065270,Small Cozy Mid-town home,3,2.0,3,7,Midland,False,True,31.99099,-102.10418,19,https://a0.muscache.com/im/pictures/d8969a70-3c71-45a0-b85f-cd5c26ee7c8c.jpg?aki_policy=large,26,Entire house,2,5.0,272845302,4.81,95.0,95.0,0.9,0.85,CANCEL_FLEXIBLE,2
36205037,"Cowboy Dan, West Texas Retreat",3,2.0,3,6,Midland,False,False,31.93193,-102.08095,15,https://a0.muscache.com/im/pictures/d1c4b7f4-a776-49e5-bbfc-28a0e6581098.jpg?aki_policy=large,30,Entire house,2,4.5,37799859,4.67,85.0,85.0,0.9,0.85,CANCEL_FLEXIBLE,2
42181584,Desert Farm Studio,0,1.0,1,2,Midland,False,True,31.97995,-102.13723,28,https://a0.muscache.com/im/pictures/0b67fdb0-d64d-4e51-bd64-7d9e3946cffe.jpg?aki_policy=large,12,Entire guest suite,53,5.0,64077873,5.0,45.0,45.0,0.85,0.8,CANCEL_FLEXIBLE,1
39341074,Wadley Barron Guest House,1,1.0,1,2,Midland,False,False,32.00773,-102.08537,11,https://a0.muscache.com/im/pictures/e83e514f-1ba5-4fe3-9e2b-da9eeb902032.jpg?aki_policy=large,21,Entire guesthouse,40,5.0,30881189,4.76,75.0,75.0,1.0,1.0,CANCEL_FLEXIBLE,1
23812456,Rustic Lodge #3: Superhost- Best Value in Midland!,1,1.0,1,2,Midland,False,True,32.01632,-102.17248,13,https://a0.muscache.com/im/pictures/08446547-d787-4468-b729-638e8558b38b.jpg?aki_policy=large,71,Private room,2,5.0,13604215,4.85,35.0,35.0,0.93,0.86,CANCEL_STRICT_14_WITH_GRACE_PERIOD,2
36882220,Orient XPress- Private 1 Bedroom with sleeper sofa,1,1.0,1,4,Midland,False,True,31.99859,-102.0987,8,https://a0.muscache.com/im/pictures/91255855-19e1-4f68-a802-88d7f1f7c9a8.jpg?aki_policy=large,36,Entire apartment,1,5.0,224560380,4.92,75.0,75.0,1.0,1.0,CANCEL_FLEXIBLE,1
24133246,Loft overlooking Tall City,1,1.0,1,2,Midland,False,False,32.00068,-102.08784,6,https://a0.muscache.com/im/pictures/299ee4ce-71f6-4fbf-ae7c-9aec81740cb0.jpg?aki_policy=large,163,Entire loft,35,5.0,22043709,4.89,100.0,100.0,1.0,0.9,CANCEL_MODERATE,1
35910894,Cozy Chalet - Studio with Private Entrance,0,1.0,3,4,Midland,False,True,32.02296,-102.08777,9,https://a0.muscache.com/im/pictures/75f38777-c4ad-4bbc-993a-5c00ac2c2547.jpg?aki_policy=large,19,Entire guest suite,53,5.0,250586284,4.89,42.0,42.0,0.97,0.95,CANCEL_STRICT_14_WITH_GRACE_PERIOD,1
42198220,The  Course,2,2.0,2,4,Midland,False,False,32.0133,-102.14734,23,https://a0.muscache.com/im/pictures/4f1a697f-147c-4ce7-8410-44e263300215.jpg?aki_policy=large,8,Entire townhouse,36,5.0,181836605,4.88,59.0,59.0,1.0,1.0,CANCEL_FLEXIBLE,1
28431270,"PRIVATE 600 sq.ft. wing w/ 2 bed, 1 bath, & living",2,1.0,3,4,Midland,False,True,31.98966,-102.08886,18,https://a0.muscache.com/im/pictures/ce9d734a-5b1d-441e-a1e9-8dfc15031234.jpg?aki_policy=large,99,Private room,2,5.0,214632468,4.87,62.0,62.0,0.9,0.75,CANCEL_FLEXIBLE,1
27430448,"The Robbins Nest A-Bright & Clean Home, New Grill",2,1.0,2,5,Midland,False,True,32.02483,-102.0851,40,https://a0.muscache.com/im/pictures/a99946c0-76c7-4393-b758-b881a2435506.jpg?aki_policy=large,88,Entire townhouse,36,5.0,206713988,4.98,80.0,80.0,0.96,0.92,CANCEL_FLEXIBLE,2
34837782,Cozy Guest Suite - See discounted rates,1,1.0,1,2,Midland,False,False,32.0062,-102.14561,11,https://a0.muscache.com/im/pictures/046d966c-6890-495d-8e3b-e2b60b97d9b7.jpg?aki_policy=large,35,Private room,2,5.0,156780693,4.8,32.0,32.0,0.95,0.9,CANCEL_FLEXIBLE,1
35741024,Sunflower Cottage - 1 Queen bed with sleeper sofa,0,1.0,1,3,Midland,False,True,31.99928,-102.09672,7,https://a0.muscache.com/im/pictures/05bdbf81-6580-473b-b0a6-a3b56d74b455.jpg?aki_policy=large,23,Entire cottage,60,5.0,224560380,4.91,75.0,75.0,0.85,0.85,CANCEL_FLEXIBLE,1
20712472,My Home is Your Home II (Mi Casa es Su Casa II),1,1.0,1,2,Midland,False,True,32.02521,-102.07832,14,https://a0.muscache.com/im/pictures/11e10e71-e9f0-4bc0-a1d5-48fca371abf9.jpg?aki_policy=large,60,Private room,2,5.0,134405721,4.77,40.0,40.0,0.9,0.85,CANCEL_FLEXIBLE,1
25668935,Rustic Lodge #2: Superhost- Best Value in Midland!,1,1.0,1,2,Midland,False,True,32.01767,-102.1743,11,https://a0.muscache.com/im/pictures/71a4d19e-392f-44f5-bf54-807c698c62f6.jpg?aki_policy=large,79,Private room,2,5.0,13604215,4.95,35.0,35.0,0.9,0.82,CANCEL_STRICT_14_WITH_GRACE_PERIOD,2
24917313,Downtown Cottage,1,1.0,1,3,Midland,False,False,31.99921,-102.08919,9,https://a0.muscache.com/im/pictures/4cd11347-0700-470b-b06e-7ccddefed4fc.jpg?aki_policy=large,55,Entire house,2,5.0,22043709,4.95,100.0,100.0,1.0,1.0,CANCEL_MODERATE,1
25772862,Downtown Gem,2,2.0,2,4,Midland,False,True,31.99442,-102.0834,10,https://a0.muscache.com/im/pictures/98f19818-c1b1-490b-a0a0-1f91f23fdbdd.jpg?aki_policy=large,68,Entire house,2,5.0,48860531,4.75,130.0,130.0,1.0,1.0,CANCEL_STRICT_14_WITH_GRACE_PERIOD,3
33691159,Cozy 3 Bedroom Home Close to Downtown + I20,3,1.0,3,5,Midland,False,True,31.98778,-102.09306,11,https://a0.muscache.com/im/pictures/dbdd7dcf-ce83-4f08-bb00-3b0c4f06f689.jpg?aki_policy=large,69,Entire house,2,5.0,80824187,4.94,91.0,91.0,1.0,1.0,CANCEL_FLEXIBLE,1
39902403,New! Private master bedroom and master bathroom,1,1.0,1,2,Odessa,False,True,31.89368,-102.38709,9,https://a0.muscache.com/im/pictures/fe357e89-f1fc-4640-a61f-5babff6ff2bc.jpg?aki_policy=large,26,Private room,2,5.0,174823789,4.96,35.0,35.0,0.9,0.9,CANCEL_MODERATE,1
39992116,"Cedar Cottage - Quaint, Quiet, Quality",1,1.0,2,3,Midland,False,True,32.01577,-102.07725,14,https://a0.muscache.com/im/pictures/c182c10a-a7b3-4f62-97fd-74010d2ac1a1.jpg?aki_policy=large,8,Entire guesthouse,40,5.0,41669328,4.75,52.0,52.0,0.92,0.75,CANCEL_STRICT_14_WITH_GRACE_PERIOD,1
23006099,The Zen House,0,1.0,2,4,Midland,False,True,32.01345,-102.07886,9,https://a0.muscache.com/im/pictures/f3bc9b9e-76ee-451c-8ff0-27dafed31625.jpg?aki_policy=large,28,Entire house,2,5.0,73796620,4.86,95.0,95.0,0.8,0.75,CANCEL_STRICT_14_WITH_GRACE_PERIOD,3
42712121,Cozy Upstairs Loft Apartment A,2,1.0,2,4,Midland,False,False,31.99011,-102.0666,7,https://a0.muscache.com/im/pictures/77dd202c-926e-406e-8e75-7f63e84fec3c.jpg?aki_policy=large,0,Entire apartment,1,NaN,119714968,NaN,99.0,99.0,0.9,0.67,CANCEL_FLEXIBLE,2
25778459,A place to call home Apt#1,1,1.0,1,2,Midland,False,True,32.02258,-102.12048,16,https://a0.muscache.com/im/pictures/017c84d7-eacc-4415-bdde-b694a1d44b37.jpg?aki_policy=large,80,Entire apartment,1,5.0,187523928,4.96,110.0,110.0,0.88,1.0,CANCEL_FLEXIBLE,1
27657453,Monclair,1,1.0,1,1,Odessa,False,True,31.88613,-102.33627,3,https://a0.muscache.com/im/pictures/a70b54bf-f36e-46b6-8b09-443ee907de6e.jpg?aki_policy=large,8,Private room,2,5.0,104146604,4.88,29.0,29.0,1.0,1.0,CANCEL_MODERATE,5
31573341,"Great location, Loraine B - Room #1",1,1.0,1,1,Midland,False,False,31.98378,-102.07369,6,https://a0.muscache.com/im/pictures/1a4524ac-dc36-48c4-9c02-b671a41c227b.jpg?aki_policy=large,44,Private room,40,5.0,56215662,4.75,35.0,35.0,0.92,0.77,CANCEL_FLEXIBLE,2
31653418,"Private room.Comfy,affordable,family friendly,cozy",1,1.0,1,1,Midland,False,False,32.00531,-102.13782,13,https://a0.muscache.com/im/pictures/a95ca0d6-043e-4f8a-bc5e-5e3726359818.jpg?aki_policy=large,24,Private room,1,4.5,237329398,4.54,33.0,33.0,0.89,0.85,CANCEL_FLEXIBLE,1
42597991,Jayco Jayflight 3 Midland Tx,2,1.0,0,2,Midland,False,False,31.92839,-102.09603,25,https://a0.muscache.com/im/pictures/066f2c6d-d01b-4ed4-8291-a3880fe276d2.jpg?aki_policy=large,0,Entire apartment,1,NaN,264055558,NaN,35.0,35.0,0.75,0.6,CANCEL_FLEXIBLE,5
34289304,*2020 Airbnb of the Year* - Cedar Social,3,2.0,3,6,Midland,False,True,31.99412,-102.10254,36,https://a0.muscache.com/im/pictures/6077b4ab-9be7-4cb6-8d46-7ac9bf12848d.jpg?aki_policy=large,29,Entire house,2,5.0,258887301,5.0,174.0,174.0,0.91,0.9,CANCEL_STRICT_14_WITH_GRACE_PERIOD,2
29858603,Tall City Texan,0,1.0,1,2,Midland,False,True,31.9984,-102.09642,10,https://a0.muscache.com/im/pictures/726983fc-1953-436c-bc04-e1f015f4c82f.jpg?aki_policy=large,91,Entire apartment,1,5.0,224560380,4.9,70.0,70.0,0.9,1.0,CANCEL_FLEXIBLE,1
34613758,Cottage  Hideaway- Private Entrance and Parking,0,1.0,1,3,Midland,False,False,32.0091,-102.07658,4,https://a0.muscache.com/im/pictures/dace4480-08cc-43dd-954d-fb14fb4fb573.jpg?aki_policy=large,24,Entire guesthouse,40,4.5,212335944,4.29,65.0,65.0,0.85,0.75,CANCEL_STRICT_14_WITH_GRACE_PERIOD,2
39462211,Spacious Flat in the Heart of Midland,2,2.0,3,5,Midland,False,False,32.03429,-102.13427,14,https://a0.muscache.com/im/pictures/2dedf67a-906e-4f2f-a4a2-4cba2096f1c4.jpg?aki_policy=large,11,Entire apartment,1,4.0,302762155,3.73,65.0,65.0,0.9,0.8,CANCEL_FLEXIBLE,1
26784713,Right at Home - Midland Corporate,3,2.0,4,6,Midland,False,True,32.01751,-102.11475,43,https://a0.muscache.com/im/pictures/b76a7734-9c9c-4582-a50f-b67a5656bca5.jpg?aki_policy=large,23,Entire house,2,5.0,153682556,4.83,99.0,99.0,1.0,1.0,CANCEL_FLEXIBLE,1
42682984,A place to call home Apt#2,0,1.0,1,2,Midland,False,True,32.02291,-102.12051,16,https://a0.muscache.com/im/pictures/08ad5ec3-5824-4ec9-a4c6-858195c25862.jpg?aki_policy=large,7,Entire apartment,1,5.0,187523928,5.0,75.0,75.0,0.95,0.9,CANCEL_FLEXIBLE,1
32962047,Cozy and clean,2,1.0,2,2,Midland,False,True,32.01543,-102.16771,4,https://a0.muscache.com/im/pictures/2ce2a041-d3d1-40bc-8650-7cc78f3dbcc6.jpg?aki_policy=large,17,Private room,2,5.0,244181886,5.0,75.0,75.0,0.9,0.75,CANCEL_FLEXIBLE,1
32738636,Quiet Escape,1,1.0,1,1,Midland,False,True,31.98678,-102.16876,9,https://a0.muscache.com/im/pictures/6cef417b-18e5-40cd-9a4d-31fc31a42934.jpg?aki_policy=large,94,Private room,2,5.0,221562923,4.95,45.0,45.0,1.0,1.0,CANCEL_MODERATE,1
37128134,Midessa Hotel -w DirecTV/1GB Inter./PVT minifride,1,1.5,1,1,Odessa,False,True,31.93809,-102.30896,6,https://a0.muscache.com/im/pictures/60e512cb-a813-4e9d-8459-b6678ac99839.jpg?aki_policy=large,16,Private room,2,5.0,145146842,4.88,43.0,43.0,0.9,0.9,CANCEL_MODERATE,3
42420418,2018 Jayco Jayflight Midland Tx 7,2,1.0,0,2,Midland,False,False,31.92677,-102.09372,24,https://a0.muscache.com/im/pictures/036c4663-9fb9-4d33-839f-f202495dbb0e.jpg?aki_policy=large,0,Entire apartment,1,NaN,264055558,NaN,40.0,40.0,0.9,0.77,CANCEL_FLEXIBLE,5
36425577,Cozy studio back home in town,0,1.0,1,2,Midland,False,False,31.9842,-102.09874,6,https://a0.muscache.com/im/pictures/68a2a927-99d5-40d3-92d4-e914eeae6969.jpg?aki_policy=large,8,Entire guesthouse,40,4.5,273873125,4.5,39.0,39.0,0.96,0.75,CANCEL_STRICT_14_WITH_GRACE_PERIOD,1
36764550,"The Robbins Nest B-New Beds, Grill & Outdoor Sink",2,1.0,2,5,Midland,False,True,32.02437,-102.0855,48,https://a0.muscache.com/im/pictures/b94f6ea9-9143-48ce-b723-4a2defe992e6.jpg?aki_policy=large,27,Entire townhouse,36,5.0,206713988,4.89,80.0,80.0,0.96,0.92,CANCEL_FLEXIBLE,2
24463147,Rustic Lodge #1: Superhost- Best Value in Midland!,1,1.0,1,2,Midland,False,True,32.01781,-102.17376,13,https://a0.muscache.com/im/pictures/856656e5-e5fc-49ed-bee0-9030e6132966.jpg?aki_policy=large,118,Private room,2,5.0,13604215,4.89,38.0,38.0,0.93,0.86,CANCEL_STRICT_14_WITH_GRACE_PERIOD,2
43037560,The Grand Voyage,3,2.0,3,6,Midland,True,True,32.03971,-102.11555,34,https://a0.muscache.com/im/pictures/5a7a84bf-a09e-4f9b-8c89-6ed7f4fde2be.jpg?aki_policy=large,2,Entire house,2,NaN,258887301,NaN,135.0,135.0,0.9,0.88,CANCEL_STRICT_14_WITH_GRACE_PERIOD,2
43186999,Oasis in the Wild Wild West,3,2.0,3,6,Gardendale,True,False,32.01756,-102.28669,46,https://a0.muscache.com/im/pictures/50c496f4-9d0a-4965-a9ff-239651647f64.jpg?aki_policy=large,1,Entire house,2,NaN,343872445,NaN,165.0,165.0,1.0,1.0,CANCEL_STRICT_14_WITH_GRACE_PERIOD,4
