listing.user.id,listing.lat,listing.lng
450856,31.892879999999998,-102.29782
450856,31.894779999999997,-102.29871
450856,31.89473,-102.29733
450856,31.89495,-102.2972
11656777,32.02978,-102.1151
11656777,32.0297,-102.11363
11656777,32.0189,-102.13537
11656777,32.031659999999995,-102.12494000000001
13387627,31.94363,-102.40274000000001
13387627,31.94189,-102.40236999999999
13387627,31.943790000000003,-102.40111999999999
13387627,31.930159999999997,-102.4081
13387627,31.94339,-102.4019
13604215,32.01767,-102.1743
13604215,32.01781,-102.17376
13604215,32.01632,-102.17248000000001
24951414,31.923409999999997,-102.36926
24951414,31.9245,-102.37058
24951414,31.923890000000004,-102.37056
24951414,31.92373,-102.36988000000001
28980408,32.01155,-102.13114
28980408,31.990540000000003,-102.09722
28980408,32.00018,-102.10019
41669328,31.984109999999998,-102.14095999999999
41669328,32.01577,-102.07725
41669328,31.98436,-102.16441999999999
41916063,32.05279,-102.13168
41916063,32.06776,-102.09549
41916063,32.0389,-102.12446
41916063,32.05105,-102.13201
41916063,32.03743,-102.12411999999999
41916063,32.05161,-102.13179000000001
41916063,32.05162,-102.13212
41916063,32.0678,-102.09364000000001
41916063,32.0512,-102.13154
41916063,32.05798,-102.0794
41916063,32.05254,-102.13178
41916063,31.99145,-102.16079
41916063,32.058370000000004,-102.08096
41916063,32.03736,-102.12238
41916063,31.90467,-102.33373
41916063,31.91232,-102.2886
41916063,31.912909999999997,-102.2895
77533936,31.92287,-101.91613000000001
77533936,31.921359999999996,-101.91596
77533936,31.918090000000003,-101.91463
143346325,31.9833,-102.07336
143346325,31.981640000000002,-102.07354000000001
143346325,31.98232,-102.07336
143346325,31.983790000000003,-102.07460999999999
149309678,32.01684,-102.08471
149309678,31.97317,-102.13551
149309678,31.9725,-102.14246
149309678,32.025259999999996,-102.15564
149309678,32.04048,-102.1173
153682556,32.015240000000006,-102.17277
153682556,32.01807,-102.10578000000001
153682556,32.004509999999996,-102.11225999999999
153682556,32.03344,-102.11689
153682556,32.03263,-102.11901
153682556,32.01147,-102.14792
153682556,32.01872,-102.11478000000001
153682556,32.01758,-102.10647
153682556,32.0287,-102.15999000000001
153682556,32.031220000000005,-102.11346
153682556,32.05422,-102.13476999999999
153682556,32.036429999999996,-102.16642
153682556,32.02762,-102.11855
153682556,32.017509999999994,-102.11475
153682556,31.890909999999998,-102.2989
153682556,31.8631,-102.3695
153682556,31.8644,-102.36573
153682556,31.869290000000003,-102.35623000000001
174750939,32.03705,-102.13129
174750939,32.00039,-102.08861
174750939,32.0382,-102.13251
174750939,31.99985,-102.10499
184109707,31.877090000000003,-102.3493
184109707,31.87898,-102.34944
184109707,31.87735,-102.34931
207888136,32.007,-102.08176999999999
207888136,32.02704,-102.08384000000001
207888136,32.00785,-102.07972
207888136,32.00887,-102.08035
207888136,31.98528,-102.13941
207888136,32.00904,-102.08037
207888136,32.00741,-102.08205
207888136,32.02697,-102.12741
207888136,32.00734,-102.08055999999999
207888136,32.00871,-102.08159
207888136,31.843970000000002,-102.38125
207888136,31.85227,-102.3866
210949544,31.932109999999998,-102.30163
210949544,31.9336,-102.30022
210949544,31.933729999999997,-102.3017
224560380,31.99928,-102.09671999999999
224560380,31.9984,-102.09642
224560380,31.998590000000004,-102.0987
250352128,31.98532,-102.13348
250352128,31.984920000000002,-102.133
250352128,31.98508,-102.13461
258887301,32.023109999999996,-102.10983
258887301,32.03971,-102.11555
258887301,31.994120000000002,-102.10254
264055558,31.928390000000004,-102.09603
264055558,31.939770000000003,-102.03281
264055558,31.941259999999996,-102.03227
266063094,31.994059999999998,-102.16205
266063094,31.9936,-102.16161
266063094,31.99407,-102.16013000000001
266063094,31.995390000000004,-102.16174000000001
266063094,31.99326,-102.16031
266063094,31.9939,-102.16135
266063094,31.995279999999998,-102.16115
266063094,31.993170000000003,-102.15997
266063094,31.993409999999997,-102.16003
266063094,31.99455,-102.16204
266063094,31.856070000000003,-102.32002
266063094,31.85833,-102.31841
266063094,31.85678,-102.31825
302762155,31.98801,-102.14806999999999
302762155,31.98763,-102.14918
302762155,31.9867,-102.14799000000001
302762155,32.03264,-102.13565
302762155,32.032990000000005,-102.13535999999999
302762155,32.03328,-102.13429000000001
302762155,32.0347,-102.13564000000001
302762155,32.03307,-102.13405
302762155,32.034659999999995,-102.13593
302762155,32.03303,-102.13598
302762155,32.03248,-102.13473
302762155,32.033229999999996,-102.13544
302762155,31.98808,-102.14916
302762155,31.986720000000002,-102.14816
302762155,31.988590000000002,-102.1492
302762155,31.98695,-102.14957
302762155,31.986459999999997,-102.14844000000001
302762155,32.03451,-102.13488000000001
302762155,32.034440000000004,-102.13571999999999
302762155,31.98837,-102.14925
302762155,31.98821,-102.14981999999999
302762155,31.987059999999996,-102.1491
302762155,32.034290000000006,-102.13427
342643084,32.02814,-102.15834
342643084,32.02814,-102.15834
342643084,32.02814,-102.15834
342643084,32.02814,-102.15834
342643084,32.02814,-102.15834
342643084,32.03604,-102.08015999999999
342643084,32.02814,-102.15834
342643084,32.03604,-102.08015999999999
342643084,32.03604,-102.08015999999999
342643084,32.03604,-102.08015999999999
342643084,32.02814,-102.15834
342643084,32.03604,-102.08015999999999
342643084,32.03604,-102.08015999999999
342643084,32.02814,-102.15834
342643084,32.03604,-102.08015999999999
342643084,31.91967,-102.28493
342643084,31.91967,-102.28493
342643084,31.91967,-102.28493
342643084,31.91967,-102.28493
342643084,31.91967,-102.28493
